LSOA,Predicted IMD Score
E01011978,63.103256
E01011979,56.063305
E01011959,10.332281
E01011960,10.034032
E01011963,11.909319
E01011968,17.816381
E01011982,3.5622823
E01012003,6.317024
E01012005,4.240608
E01012068,48.269928
E01012092,54.209175
E01012093,46.522762
E01012094,51.270878
E01033468,72.92248
E01012058,70.66479
E01012059,68.55236
E01012060,66.27038
E01012061,61.759098
E01012036,57.50096
E01012037,62.867123
E01012038,56.03604
E01012039,55.961998
E01012040,57.447205
E01012041,79.985146
E01012074,45.326187
E01012075,55.874207
E01012076,70.20796
E01012077,56.271717
E01012088,62.05598
E01012078,49.90762
E01012079,28.191761
E01012080,35.13324
E01012081,43.017544
E01012026,30.924387
E01012027,60.823593
E01033469,61.42861
E01012015,57.254723
E01012016,54.64093
E01012017,37.45297
E01012089,62.87307
E01012090,50.497696
E01012091,67.27706
E01012011,62.566452
E01012012,18.707537
E01012013,37.587288
E01012014,41.335033
E01012053,9.89577
E01012054,17.220972
E01012055,15.1228695
E01012056,21.936388
E01012057,23.030401
E01012082,45.162243
E01012083,59.083984
E01012084,60.95187
E01012085,60.06333
E01012018,53.515858
E01012019,79.291374
E01012020,53.19333
E01012021,66.97355
E01012007,16.405827
E01012008,12.935548
E01012009,12.395389
E01012010,7.0796986
E01012046,17.51193
E01012047,10.617724
E01012048,10.781011
E01012049,16.5131
E01012050,39.902374
E01012051,41.00284
E01012052,21.770613
E01012022,12.418552
E01012023,15.039929
E01012024,16.854332
E01012025,10.952039
E01012065,6.90559
E01012066,4.9346256
E01012067,12.950116
E01012042,38.756317
E01012043,21.786821
E01012044,59.584408
E01012045,62.655224
E01032552,26.940159
E01032553,14.950775
E01012030,14.346865
E01012031,30.291046
E01012032,7.239917
E01012033,43.746906
E01012034,17.897903
E01012035,45.463493
E01012062,9.99209
E01012063,10.042525
E01012064,9.936466
E01012071,2.6301649
E01012073,9.266517
E01032593,5.578701
E01027356,5.1593437
E01027357,4.3538876
E01027366,11.884101
E01027367,7.132558
E01027358,21.429483
E01027359,32.14498
E01033715,26.427425
E01033717,5.3556557
E01027361,28.570107
E01027362,26.66237
E01027363,46.522114
E01027364,14.955376
E01027370,6.539632
E01027371,17.540112
E01027372,10.195604
E01027365,15.67374
E01027368,10.481221
E01027369,5.2908382
E01027373,17.094687
E01027376,24.518816
E01027377,21.894054
E01027385,38.195663
E01027387,24.873722
E01027388,29.822756
E01027389,23.77523
E01027378,11.531767
E01027379,6.5112514
E01027380,22.178679
E01027382,12.787178
E01027386,18.029816
E01027374,19.12038
E01027375,18.39793
E01027381,23.03277
E01027383,15.767728
E01027384,10.273428
E01027390,17.710543
E01027392,51.1643
E01027393,40.346127
E01027416,54.292744
E01027424,53.976856
E01027414,26.854767
E01027415,51.337418
E01027431,42.346725
E01027441,17.73548
E01027442,25.246628
E01027391,26.833944
E01027422,38.465405
E01027423,37.876095
E01027429,43.165607
E01027430,34.73367
E01027425,9.896823
E01027426,53.83155
E01027427,40.938545
E01027428,10.774826
E01027437,7.663003
E01027438,8.647161
E01027439,3.3287408
E01027440,6.880377
E01027400,5.7637253
E01027401,2.3552778
E01027402,4.103161
E01027403,4.142622
E01027398,30.257998
E01027409,18.628849
E01027411,27.11193
E01027412,42.442093
E01027413,28.749569
E01027395,32.305893
E01027396,26.686604
E01027397,47.801807
E01027399,7.7702494
E01027404,8.861671
E01027405,4.8559265
E01027417,9.826722
E01027418,12.552425
E01027419,19.727715
E01027420,11.223022
E01027421,21.252504
E01027394,21.307182
E01027406,8.177524
E01027407,7.8905163
E01027408,23.529295
E01027410,4.562887
E01027432,28.987654
E01027433,24.666636
E01027434,14.310625
E01027435,19.026775
E01027436,23.541264
E01027443,39.49162
E01027444,22.273462
E01027445,18.527262
E01027446,10.3829
E01027451,49.80335
E01027474,19.304419
E01027475,9.143837
E01027457,10.894901
E01027462,31.803854
E01027463,11.057147
E01027447,12.060623
E01027448,9.18035
E01027450,7.891877
E01027473,9.465836
E01027452,14.568738
E01027453,20.159922
E01027461,35.84297
E01033718,20.745947
E01027455,3.5269392
E01027456,3.9004629
E01027458,1.2726305
E01027460,4.459976
E01027464,5.2502728
E01027465,5.069063
E01027466,22.227255
E01033714,4.8123894
E01027449,5.1869507
E01027468,1.9835565
E01027469,2.742256
E01027471,2.8496816
E01027472,8.395833
E01027479,15.481029
E01027480,19.07826
E01027503,14.364917
E01027511,13.645929
E01027484,8.219233
E01027485,18.983835
